Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Occurences,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1846,10,19,,,,3,1,,0,Italy,91,TUSCANY,,,,0,,,,,,,,,,
1846,10,24,,,,3,1,,0,Italy,91,TUSCANY,,,,0,,,,,,,,,,
1846,10,28,,,,3,1,,0,Italy,91,TUSCANY,,,,0,,,,,,,,,,
1846,11,29,0,55,,3,1,,0,Italy,91,TUSCANY,,,,0,,,,,,,,,,
1846,12,3,,,,2,1,,0,Italy,91,TUSCANY,43.3,10.7,,2,,3,,,,,,,,
1846,,,,,,2,1,,0,Turkey,25,ISMIR,,,,0,,3,,,,,,,,
1847,4,15,,,,3,1,,0,Italy,91,LIVORNO,,,,0,,,,,,,,,,
1847,4,16,,,,3,1,,0,Italy,91,LIVORNO,,,,0,,,,,,,,,,
1847,4,17,,,,3,1,,0,Italy,91,LIVORNO,,,,0,,,,,,,,,,
1847,5,23,,,,2,1,,0,Peru,53,CENTRAL PERU,-12.1,-77.1,2,1,1,1.5,,,,,,1,,
1847,7,9,,,,4,8,,0,Portugal,16,AZORES,39.483,-31.233,7,2,,,10,100,2,,,,,
1847,8,26,,,,2,0,,0,Italy,91,NAPLES,,,,1,,2,,,,,,,,
1847,8,27,,,,1,9,,0,Japan,225,SANRIKU,,,,4,1,1.5,335,,,,,1,,
1847,10,19,,,,2,1,,0,Chile,151,CENTRAL CHILE,-31.61,-71.18,,1,,,,,,,,,,
1847,10,31,,,,3,1,,0,India,15,LITTLE NICOBAR ISLAND,7.333,93.667,,1,,,,,,,,1,,
1848,6,,,,,1,0,,0,Russia,90,KAMCHATKA,,,,0,,,,,,,,,,
1848,7,12,,,,2,1,,0,French Polynesia,4,TAHITI,-17.9,-149.9,,2,,0.5,,,,,,1,,
1848,9,24,,,,3,8,,0,Canada,25,"FISHING SHIPS HARBOUR, NEWFOUNDLAND",52.616,-55.766,,4,,,,,,,,,,
